anio,periodo,dimension,categoria,conteo,porcentaje,total_anual
2016,anual,autoria,fuerzas_seguridad,,33.4,31
2016,anual,autoria,persona_privada,,66.6,31
2016,anual,identidad_victima,gay_cis,,9.6,31
2016,anual,identidad_victima,lesbiana,,13.0,31
2016,anual,identidad_victima,mujer_trans,,77.4,31
2016,anual,provincia,Buenos Aires,,25.8,31
2016,anual,provincia,CABA,,19.35,31
2016,anual,provincia,Córdoba,,9.67,31
2016,anual,provincia,Otras,,19.35,31
2016,anual,provincia,Salta,,16.13,31
2016,anual,provincia,Santa Fe,,9.67,31
2016,anual,rango_etario,20-29,,9.7,31
2016,anual,rango_etario,30-39,,22.6,31
2016,anual,rango_etario,40-49,,6.45,31
2016,anual,rango_etario,50-59,,6.45,31
2016,anual,rango_etario,60-69,,0.0,31
2016,anual,rango_etario,70-79,,3.2,31
2016,anual,rango_etario,desconocido,,51.6,31
2016,anual,tipo_violacion,asesinato,13.0,42.0,31
2016,anual,tipo_violacion,violencia_fisica,18.0,58.0,31
2017,anual,autoria,fuerzas_seguridad,,21.0,103
2017,anual,autoria,persona_privada,,79.0,103
2017,anual,identidad_victima,gay_cis,,30.0,103
2017,anual,identidad_victima,lesbiana,,9.0,103
2017,anual,identidad_victima,mujer_trans,,58.0,103
2017,anual,identidad_victima,varón_trans,,3.0,103
2017,anual,lugar_fisico,comisaria_penal,7.0,7.0,103
2017,anual,lugar_fisico,descampado,2.0,2.0,103
2017,anual,lugar_fisico,establecimiento_privado,6.0,6.0,103
2017,anual,lugar_fisico,establecimiento_publico,4.0,4.0,103
2017,anual,lugar_fisico,otra_vivienda,4.0,4.0,103
2017,anual,lugar_fisico,parque,2.0,2.0,103
2017,anual,lugar_fisico,ruta,3.0,3.0,103
2017,anual,lugar_fisico,sin_dato,5.0,5.0,103
2017,anual,lugar_fisico,via_publica,57.0,55.0,103
2017,anual,lugar_fisico,vivienda_agresor,1.0,1.0,103
2017,anual,lugar_fisico,vivienda_victima,12.0,11.0,103
2017,anual,modalidad,abuso_sexual,,4.0,103
2017,anual,modalidad,balazo,,4.0,103
2017,anual,modalidad,corte,,3.0,103
2017,anual,modalidad,degüello,,1.0,103
2017,anual,modalidad,desconocida,,1.0,103
2017,anual,modalidad,estrangulamiento,,3.0,103
2017,anual,modalidad,golpes,,70.0,103
2017,anual,modalidad,otra,,10.0,103
2017,anual,modalidad,puñalada,,4.0,103
2017,anual,provincia,Buenos Aires,33.0,32.0,103
2017,anual,provincia,CABA,36.0,35.0,103
2017,anual,provincia,Córdoba,3.0,3.0,103
2017,anual,provincia,Neuquén,3.0,3.0,103
2017,anual,provincia,Otras,16.0,15.0,103
